filiere_id,filiere_libelle,cod_aff_form,effectif_total_demandé,effectif_total_candidats,effectif_total_candidates,effectif_total_accepte,effectif_total_admis,effectif_total_admises,general,techno,pro,autre,capacite
3389,BUT - Génie civil - Construction durable,16046,1422,1185,237,49,41,8,20,24,0,5,48
984,BUT - Génie électrique et informatique industrielle,7832,676,615,61,62,59,3,23,24,1,14,72
858,BUT - Génie mécanique et productique,7833,1203,1096,107,82,72,10,40,33,0,9,85
3304,BUT - Gestion des entreprises et des administrations,7834,1816,988,828,126,63,63,59,47,0,20,135
2653,BUT - Métiers du multimédia et de l'internet,7835,996,708,288,55,39,16,18,22,0,15,56
1218,BUT - Techniques de commercialisation,7836,2558,1358,1200,140,79,61,57,67,6,10,135
3304,BUT - Gestion des entreprises et des administrations,10397,855,440,415,62,24,38,27,23,0,12,60
2653,BUT - Métiers du multimédia et de l'internet,10399,1873,1247,626,80,55,25,26,23,0,31,81
679,BUT - Génie biologique parcours biologie médicale et biotechnologie,10358,1933,531,1402,55,17,38,27,19,0,9,55
494,BUT - Génie biologique Parcours diététique et nutrition,10356,726,194,532,23,2,21,7,6,0,10,22
1419,BUT - Génie biologique parcours sciences de l'environnement et écotechnologies,10357,759,391,368,28,14,14,11,10,0,7,26
984,BUT - Génie électrique et informatique industrielle,10353,736,669,67,71,62,9,31,21,0,19,96
3316,BUT - Génie industriel et maintenance,10354,411,375,36,25,24,1,8,11,0,6,36
858,BUT - Génie mécanique et productique,10355,1370,1221,149,96,92,4,48,32,0,16,100
3304,BUT - Gestion des entreprises et des administrations,10359,1944,1023,921,160,78,82,82,53,1,24,163
1218,BUT - Techniques de commercialisation,10360,3109,1422,1687,162,87,75,74,73,1,14,164
2153,BUT - Génie biologique Parcours agronomie,4264,1131,467,664,46,19,27,29,10,0,7,50
3512,BUT - Génie biologique parcours sciences de l'aliment et biotechnologie,4265,786,268,518,21,6,15,9,5,0,7,25
3304,BUT - Gestion des entreprises et des administrations,4266,1888,1058,830,64,45,19,26,22,0,16,67
2948,BUT - Hygiène Sécurité Environnement,4263,857,593,264,42,31,11,14,21,0,7,50
2296,BUT - Chimie,10293,1304,485,819,74,27,47,37,25,0,12,74
2653,BUT - Métiers du multimédia et de l'internet,10295,1327,958,369,58,46,12,13,20,2,23,50
2566,"BUT - Packaging, emballage et conditionnement",10294,271,96,175,23,6,17,11,9,0,3,26
1218,BUT - Techniques de commercialisation,10296,2220,1157,1063,84,44,40,19,33,0,32,68
3382,BUT - Génie chimique génie des procédés,4094,1652,802,850,80,41,39,45,7,0,28,90
3389,BUT - Génie civil - Construction durable,4095,3784,3063,721,190,150,40,74,88,0,28,162
984,BUT - Génie électrique et informatique industrielle,4096,1469,1313,156,137,127,10,56,31,0,50,146
858,BUT - Génie mécanique et productique,4097,3291,2919,372,231,214,17,82,102,0,47,232
3304,BUT - Gestion des entreprises et des administrations,4100,6107,3267,2840,380,229,151,151,181,0,48,320
1722,BUT - Information communication Parcours communication des organisations,4103,3575,823,2752,53,5,48,19,22,0,12,50
3251,BUT - Information communication Parcours information numérique dans les organisations,4102,981,392,589,36,14,22,12,11,0,13,36
1549,BUT - Information communication Parcours métiers du livre et du patrimoine,18833,555,103,452,15,2,13,6,4,0,5,13
2326,BUT - Informatique,4098,3312,2969,343,133,117,16,41,51,0,41,134
1218,BUT - Techniques de commercialisation,4101,7655,3920,3735,161,65,96,66,70,0,25,150
3316,BUT - Génie industriel et maintenance,11334,653,587,66,43,39,4,19,20,0,4,45
3304,BUT - Gestion des entreprises et des administrations,11335,3330,1441,1889,61,25,36,21,29,0,11,60
